"minute","avg_rtt","prcount"
"2025-01-20 07:26:00+00","196.2973145780051151","1564"
"2025-01-20 07:27:00+00","196.3883557261676264","1563"
"2025-01-20 07:28:00+00","196.5140845070422535","1562"
"2025-01-20 07:29:00+00","196.6316463805253043","1561"
"2025-01-20 07:30:00+00","196.7878205128205128","1560"
"2025-01-20 07:31:00+00","196.7602564102564103","1560"
"2025-01-20 07:32:00+00","196.8392056374119154","1561"
"2025-01-20 07:33:00+00","196.6316463805253043","1561"
"2025-01-20 07:34:00+00","196.7852564102564103","1560"
"2025-01-20 07:35:00+00","196.6207559256886611","1561"
"2025-01-20 07:36:00+00","196.6252402306213965","1561"
"2025-01-20 07:37:00+00","196.7666666666666667","1560"
"2025-01-20 07:38:00+00","196.5204865556978233","1562"
"2025-01-20 07:39:00+00","196.7794871794871795","1560"
"2025-01-20 07:40:00+00","196.8051282051282051","1560"
"2025-01-20 07:41:00+00","196.7660256410256410","1560"
"2025-01-20 07:42:00+00","196.5326504481434059","1562"
"2025-01-20 07:43:00+00","196.4209852847088932","1563"
"2025-01-20 07:44:00+00","196.5518565941101152","1562"
"2025-01-20 07:45:00+00","196.7698717948717949","1560"
"2025-01-20 07:46:00+00","196.6476617552850737","1561"
"2025-01-20 07:47:00+00","196.7660256410256410","1560"
"2025-01-20 07:48:00+00","196.7596153846153846","1560"
"2025-01-20 07:49:00+00","196.7730769230769231","1560"
"2025-01-20 07:50:00+00","196.7480769230769231","1560"
"2025-01-20 07:51:00+00","196.7666666666666667","1560"
"2025-01-20 07:52:00+00","196.7551282051282051","1560"
"2025-01-20 07:53:00+00","196.7538461538461538","1560"
"2025-01-20 07:54:00+00","196.6314102564102564","1560"
"2025-01-20 07:55:00+00","196.2691815856777494","1564"
"2025-01-20 07:56:00+00","196.6252402306213965","1561"
"2025-01-20 07:57:00+00","196.7250000000000000","1560"
"2025-01-20 07:58:00+00","190.8410438908659549","1686"
