hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-22 12:00:00+00:00,215.02408323463155,1.0,43059,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 13:00:00+00:00,290.20304320513713,1.0,42981,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 13:00:00+00:00,222.88417659880352,1.0,43126,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 13:00:00+00:00,97.70339041968901,1.0,43151,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 13:00:00+00:00,148.70958160258047,1.0,43093,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 13:00:00+00:00,162.31464037122967,1.0,43100,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 13:00:00+00:00,215.3093255813953,1.0,43000,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 14:00:00+00:00,289.8264115725618,1.0,42860,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 14:00:00+00:00,222.35555555555555,1.0,42705,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 14:00:00+00:00,97.51341868624672,1.0,43037,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 14:00:00+00:00,148.61418996239985,1.0,12234,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 14:00:00+00:00,162.0636116342331,1.0,43011,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 14:00:00+00:00,122.91865679547087,1.0,84961,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 14:00:00+00:00,213.265855534578,1.0,42903,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 15:00:00+00:00,289.98812019566736,1.0,42930,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 15:00:00+00:00,221.30197214111337,1.0,41782,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 15:00:00+00:00,96.4544792938304,1.0,42596,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 15:00:00+00:00,146.6687022900763,1.0,655,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 15:00:00+00:00,161.60589537457764,1.0,42915,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 15:00:00+00:00,122.8410428736964,1.0,43150,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 15:00:00+00:00,211.4912787285489,1.0,42597,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 16:00:00+00:00,287.9996636636637,1.0,41625,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 16:00:00+00:00,220.587264378927,1.0,41380,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 16:00:00+00:00,97.0048231123544,1.0,41467,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 16:00:00+00:00,148.33912324234905,1.0,4836,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 16:00:00+00:00,161.97145757682244,1.0,25611,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 16:00:00+00:00,123.57848061717416,1.0,41609,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 16:00:00+00:00,212.73990221344445,1.0,41519,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 17:00:00+00:00,113.71693693034152,1.0,54638,"71-20965,10.0.1.1:0",10.0.1.1
2025-01-22 17:00:00+00:00,122.17827139399115,1.0,7023,"71-225,10.230.53.144:0",10.230.53.144
2025-01-22 17:00:00+00:00,281.5778328110785,1.0,39572,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 17:00:00+00:00,223.6077429345722,1.0,38745,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 17:00:00+00:00,96.5564900031736,1.0,37812,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 17:00:00+00:00,147.05940973553083,1.0,28699,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 17:00:00+00:00,153.5568662437219,1.0,30264,"71-2:0:48,127.0.0.1:0",127.0.0.1
